what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1356423541808
started,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1356423542726
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1356423546157
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423546820
executed,command,org.eclipse.ltk.ui.refactoring,3.7.0.v20120523-1543,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1356423546836
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110808-1657,"org.eclipse.equinox.p2.garbagecollector",1356423546942
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423553114
started,bundle,org.eclipse.jst.jee.ejb,1.0.301.v201007070821,"org.eclipse.jst.jee.ejb",1356423565689
started,bundle,org.eclipse.jst.jee.web,1.0.301.v201007070907,"org.eclipse.jst.jee.web",1356423565732
started,bundle,org.eclipse.jst.j2ee.ejb,1.1.505.v201202020200,"org.eclipse.jst.j2ee.ejb",1356423565834
started,bundle,org.eclipse.jst.j2ee.jca,1.1.501.v201111030500,"org.eclipse.jst.j2ee.jca",1356423565856
started,bundle,org.eclipse.xsd,2.7.1.v20120130-0943,"org.eclipse.xsd",1356423566014
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423566756
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1356423567142
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1356423567197
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1356423567699
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1356423569972
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1356423570030
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423588769
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1356423773275
started,bundle,org.eclipse.wst.css.core,1.1.501.v201111292150,"org.eclipse.wst.css.core",1356423774024
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.1.v201104032306,"org.eclipse.jst.jsf.facelet.ui",1356423775650
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1356423775696
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423783033
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356423797242
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423797482
started,bundle,org.eclipse.core.variables,3.2.600.v20120521-2012,"org.eclipse.core.variables",1356423797966
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423803231
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1356423804332
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1356423804666
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356423804710
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1356423805321
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1356423808882
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423812729
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423863395
executed,command,org.eclipse.ui,3.103.0.v20120705-114351,"org.eclipse.ui.file.properties",1356423863435
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423864067
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423864808
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423877282
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.301.v20111010_1242,"org.eclipse.jst.server.tomcat.core",1356423884355
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1356423884444
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1356423884511
started,bundle,org.eclipse.wst.server.http.core,1.0.200.v20090429,"org.eclipse.wst.server.http.core",1356423884576
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1356423884603
opened,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1356423907973
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423921449
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423937920
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1356423938556
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423938596
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1356423940772
started,bundle,org.python.pydev.debug,2.5.0.2012050419,"org.python.pydev.debug",1356423940874
opened,view,org.eclipse.ui.console,3.5.100.v20120521-2012,"org.eclipse.ui.console.ConsoleView",1356423944271
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423944293
started,bundle,com.aptana.console,3.0.0.1332428263,"com.aptana.console",1356423944461
opened,editor,org.eclipse.ui.browser,3.4.0.v20120716-173435,"org.eclipse.ui.browser.editor",1356423948075
activated,editor,org.eclipse.ui.browser,3.4.0.v20120716-173435,"org.eclipse.ui.browser.editor",1356423948216
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423952635
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1356423959865
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423963740
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423967559
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.run",1356423967636
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356423970065
error,log,,,"Unhandled event loop exception",1356423991945
started,bundle,com.google.gdt.eclipse.suite,2.5.2.v201203300216-rel-r37,"com.google.gdt.eclipse.suite",1356423992114
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356424073377
closed,editor,org.eclipse.ui.browser,3.4.0.v20120716-173435,"org.eclipse.ui.browser.editor",1356424076826
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1356424077595
activated,view,org.eclipse.ui.navigator.resources,3.4.400.v20120705-114010,"org.eclipse.ui.navigator.ProjectExplorer",1356424078642
executed,command,com.aptana.git.ui,3.0.3.1332428263,"com.aptana.git.ui.command.push",1356424092124
started,bundle,com.aptana.terminal,3.0.0.1332346356,"com.aptana.terminal",1356424092897
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356424112711
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356424165337
executed,command,com.aptana.git.ui,3.0.3.1332428263,"com.aptana.git.ui.command.push",1356424173524
deactivated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356424180377
activated,workbench,org.eclipse.ui.workbench,3.103.1.v20120906-120042,"",1356424188819
